"spec","n","beta","robust_se","stat","p"
"baseline",14686,-0.000278472645474461,0.00161198111169968,-0.172751804257085,0.862848903551393
"financial_asset_total>0",12381,0.000141170444145067,0.00190599480122027,0.0740665420780196,0.940958634784232
"Risk_Ratio>0",1436,0.0117376573209333,0.00893859245889228,1.31314380590833,0.189345165000561
"winsor_99",14686,-0.000280528589044269,0.00161030940820627,-0.174207880556788,0.86170449466616
"narrow_denominator",14686,-0.000364270200826433,0.0017010899955301,-0.21413928821145,0.830441412898088
