"scenario_id","denom_spec_id","risk_spec","sample_variant","weighting","model_id","controls","target_beta","childhealth_beta","robust_se","p_value","n","abs_error_to_target","denom_components","risk_components","include_emoney","include_other_fin","include_housing_fund","include_jizikuan","include_unpaid_salary","total_abs_error_to_targets","max_abs_error_to_target","min_n_across_models","rank_by_target_error"
"denom_13__stock_fund_lend__all__impute0","denom_13","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000782139563111709,0.0016417545385873,0.633792769259499,15598,0.00121786043688829,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,0,0.00240003368423057,0.00121786043688829,15598,7
"denom_13__stock_fund_lend__winsor_top1__impute0","denom_13","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00181782675265772,0.00166188996979913,0.274046002994774,15598,0.00118217324734228,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,0,0.00240003368423057,0.00121786043688829,15598,8
"denom_13__stock_fund_lend__winsor_top1__impute0","denom_13","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000782139563111709,0.0016417545385873,0.633792769259499,15598,0.00121786043688829,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,0,0.00240003368423057,0.00121786043688829,15598,8
"denom_21__stock_fund_lend__all__impute0","denom_21","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00180231799389503,0.00162416738347996,0.267150887096932,15598,0.00119768200610497,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00240213239862599,0.00120445039252101,15598,9
"denom_21__stock_fund_lend__all__impute0","denom_21","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000795549607478987,0.00160586572734686,0.620323138775909,15598,0.00120445039252101,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00240213239862599,0.00120445039252101,15598,9
"denom_21__stock_fund_lend__winsor_top1__impute0","denom_21","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00180231799389503,0.00162416738347996,0.267150887096932,15598,0.00119768200610497,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00240213239862599,0.00120445039252101,15598,10
"denom_21__stock_fund_lend__winsor_top1__impute0","denom_21","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000795549607478987,0.00160586572734686,0.620323138775909,15598,0.00120445039252101,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.00240213239862599,0.00120445039252101,15598,10
"denom_13__stock_fund_lend__winsor_top2__impute0","denom_13","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00181274162287819,0.00165157552150295,0.272403457046291,15598,0.00118725837712181,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,0,0.00240752522082767,0.00122026684370586,15598,11
"denom_13__stock_fund_lend__winsor_top2__impute0","denom_13","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.000779733156294137,0.00163144662655954,0.632699804628497,15598,0.00122026684370586,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,0,0.00240752522082767,0.00122026684370586,15598,11
"denom_21__stock_fund_lend__winsor_top2__impute0","denom_21","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00179571630144091,0.0016095369781253,0.264579493999669,15598,0.00120428369855909,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.0024114033235354,0.00120711962497631,15598,12
"denom_21__stock_fund_lend__winsor_top2__impute0","denom_21","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.000792880375023693,0.00159116668934596,0.618278744569421,15598,0.00120711962497631,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,0,1,0.0024114033235354,0.00120711962497631,15598,12
"denom_6__stock_fund_lend__winsor_top2__impute0","denom_6","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00179754742021713,0.00164691364721127,0.275085501641564,15598,0.00120245257978287,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",1,0,1,0,0,0.00241836336249836,0.00121591078271549,15598,13
